ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
38,112,NA,CG,NA,berries,panda,NA,NA,NA,NA,NA,NA,0,panda_melon,zebra_berries,zebra_berries,0,0,0,0
17,31,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
26,74,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
29,44,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
28,17,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
4,46,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,1,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
35,41,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,0,grizzly_melon,lion_berries,lion_berries,0,0,0,0
14,29,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
38,110,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
26,29,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
18,39,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,1,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
33,17,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,0,grizzly_melon,lion_berries,lion_berries,0,0,0,0
30,111,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
27,111,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
8,108,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
4,59,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,1,grizzly_melon,lion_berries,lion_berries,0,0,0,0
13,60,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
37,49,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
12,51,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
23,62,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,0,grizzly_melon,lion_berries,lion_berries,0,0,0,0
27,19,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,0,grizzly_melon,lion_berries,lion_berries,0,0,0,0
